datetime,symbol,open,high,low,close,volume,symbol_group,asset_class,expiry
2017-01-03 00:00:00+00:00,AAPL,113.5,114.02,112.49,113.85,28781900,AAPL,STK,
2017-01-04 00:00:00+00:00,AAPL,113.55,114.2,113.46,113.72,21118100,AAPL,STK,
2017-01-05 00:00:00+00:00,AAPL,113.62,114.54,113.51,114.3,22193600,AAPL,STK,
2017-01-06 00:00:00+00:00,AAPL,114.47,115.82,114.16,115.57,31751900,AAPL,STK,
2017-01-09 00:00:00+00:00,AAPL,115.61,117.06,115.6,116.63,33561900,AAPL,STK,
2017-01-10 00:00:00+00:00,AAPL,116.42,117.01,115.95,116.75,24462100,AAPL,STK,
2017-01-11 00:00:00+00:00,AAPL,116.39,117.55,116.25,117.38,27588600,AAPL,STK,
2017-01-12 00:00:00+00:00,AAPL,116.54,116.94,115.87,116.89,27086200,AAPL,STK,
2017-01-13 00:00:00+00:00,AAPL,116.75,117.25,116.45,116.68,26111900,AAPL,STK,
2017-01-17 00:00:00+00:00,AAPL,115.99,117.86,115.88,117.62,34439800,AAPL,STK,
2017-01-18 00:00:00+00:00,AAPL,117.62,118.11,117.34,117.61,23713000,AAPL,STK,
2017-01-19 00:00:00+00:00,AAPL,117.03,117.71,117.0,117.41,25597300,AAPL,STK,
2017-01-20 00:00:00+00:00,AAPL,118.06,118.06,117.36,117.62,32597900,AAPL,STK,
2017-01-23 00:00:00+00:00,AAPL,117.62,118.42,117.4,117.7,22050200,AAPL,STK,
2017-01-24 00:00:00+00:00,AAPL,117.18,117.72,117.13,117.59,23211000,AAPL,STK,
2017-01-25 00:00:00+00:00,AAPL,118.03,119.68,117.9,119.46,32377600,AAPL,STK,
2017-01-26 00:00:00+00:00,AAPL,119.26,120.01,119.19,119.52,26337600,AAPL,STK,
2017-01-27 00:00:00+00:00,AAPL,119.72,119.92,119.19,119.53,20562900,AAPL,STK,
2017-01-30 00:00:00+00:00,AAPL,118.53,119.22,118.27,119.22,30377500,AAPL,STK,
2017-01-31 00:00:00+00:00,AAPL,118.75,118.98,118.23,118.94,49201000,AAPL,STK,
2017-02-01 00:00:00+00:00,AAPL,124.51,127.9,124.49,126.2,111985000,AAPL,STK,
2017-02-02 00:00:00+00:00,AAPL,125.44,126.83,125.25,125.98,33710400,AAPL,STK,
2017-02-03 00:00:00+00:00,AAPL,125.77,126.63,125.62,126.52,24507300,AAPL,STK,
2017-02-06 00:00:00+00:00,AAPL,126.57,127.91,126.34,127.71,26845900,AAPL,STK,
2017-02-07 00:00:00+00:00,AAPL,127.95,129.47,127.86,128.92,38183800,AAPL,STK,
2017-02-08 00:00:00+00:00,AAPL,128.75,129.6,128.62,129.42,23004100,AAPL,STK,
2017-02-09 00:00:00+00:00,AAPL,129.6,130.39,129.08,130.36,28349900,AAPL,STK,
2017-02-10 00:00:00+00:00,AAPL,130.4,130.87,129.99,130.06,20065500,AAPL,STK,
2017-02-13 00:00:00+00:00,AAPL,131.01,131.74,130.68,131.21,23035400,AAPL,STK,
2017-02-14 00:00:00+00:00,AAPL,131.39,132.99,131.17,132.92,33226200,AAPL,STK,
2017-02-15 00:00:00+00:00,AAPL,133.41,134.15,132.52,133.4,35623100,AAPL,STK,
2017-02-16 00:00:00+00:00,AAPL,133.56,133.78,132.74,133.24,22584600,AAPL,STK,
2017-02-17 00:00:00+00:00,AAPL,133.0,133.71,133.0,133.61,22198200,AAPL,STK,
2017-02-21 00:00:00+00:00,AAPL,134.11,134.62,133.86,134.57,24507200,AAPL,STK,
2017-02-22 00:00:00+00:00,AAPL,134.31,134.98,133.99,134.97,20836900,AAPL,STK,
2017-02-23 00:00:00+00:00,AAPL,135.24,135.34,134.18,134.4,20788200,AAPL,STK,
2017-02-24 00:00:00+00:00,AAPL,133.79,134.53,133.17,134.53,21776600,AAPL,STK,
2017-02-27 00:00:00+00:00,AAPL,135.0,135.3,134.16,134.8,20257400,AAPL,STK,
2017-02-28 00:00:00+00:00,AAPL,134.95,135.3,134.57,134.86,23482900,AAPL,STK,
2017-03-01 00:00:00+00:00,AAPL,135.74,137.97,135.46,137.61,36414600,AAPL,STK,
2017-03-02 00:00:00+00:00,AAPL,137.82,138.1,136.6,136.8,26211000,AAPL,STK,
2017-03-03 00:00:00+00:00,AAPL,136.62,137.65,136.43,137.6,21108100,AAPL,STK,
2017-03-06 00:00:00+00:00,AAPL,137.2,137.59,136.44,137.17,21750000,AAPL,STK,
2017-03-07 00:00:00+00:00,AAPL,136.89,137.8,136.63,137.35,17446300,AAPL,STK,
2017-03-08 00:00:00+00:00,AAPL,136.79,137.62,136.66,136.84,18707200,AAPL,STK,
2017-03-09 00:00:00+00:00,AAPL,136.58,136.63,134.92,136.52,22155900,AAPL,STK,
2017-03-10 00:00:00+00:00,AAPL,137.08,137.19,136.48,136.97,19612800,AAPL,STK,
2017-03-13 00:00:00+00:00,AAPL,136.69,137.26,136.66,137.03,17421700,AAPL,STK,
2017-03-14 00:00:00+00:00,AAPL,137.13,137.48,136.68,136.83,15309100,AAPL,STK,
2017-03-15 00:00:00+00:00,AAPL,137.24,138.56,136.86,138.27,25691800,AAPL,STK,
2017-03-16 00:00:00+00:00,AAPL,138.53,138.82,138.08,138.5,19232000,AAPL,STK,
2017-03-17 00:00:00+00:00,AAPL,138.8,138.8,137.71,137.81,43885000,AAPL,STK,
2017-03-20 00:00:00+00:00,AAPL,138.21,139.3,138.05,139.26,21542000,AAPL,STK,
2017-03-21 00:00:00+00:00,AAPL,139.9,140.58,137.55,137.66,39529900,AAPL,STK,
2017-03-22 00:00:00+00:00,AAPL,137.67,139.39,137.58,139.22,25860200,AAPL,STK,
2017-03-23 00:00:00+00:00,AAPL,139.06,139.38,138.42,138.73,20346300,AAPL,STK,
2017-03-24 00:00:00+00:00,AAPL,139.3,139.53,138.16,138.45,22395600,AAPL,STK,
2017-03-27 00:00:00+00:00,AAPL,137.22,139.02,136.46,138.69,23575100,AAPL,STK,
2017-03-28 00:00:00+00:00,AAPL,138.72,141.8,138.43,141.56,33374800,AAPL,STK,
2017-03-29 00:00:00+00:00,AAPL,141.44,142.24,140.96,141.88,29190000,AAPL,STK,
2017-03-30 00:00:00+00:00,AAPL,141.94,142.25,141.27,141.69,21207300,AAPL,STK,
2017-03-31 00:00:00+00:00,AAPL,141.48,142.02,140.78,141.42,19661700,AAPL,STK,
2017-04-03 00:00:00+00:00,AAPL,141.47,141.88,140.82,141.46,19985700,AAPL,STK,
2017-04-04 00:00:00+00:00,AAPL,141.02,142.63,140.94,142.52,19891400,AAPL,STK,
2017-04-05 00:00:00+00:00,AAPL,141.97,143.19,141.57,141.78,27717900,AAPL,STK,
2017-04-06 00:00:00+00:00,AAPL,142.04,142.27,141.22,141.42,21149000,AAPL,STK,
2017-04-07 00:00:00+00:00,AAPL,141.49,141.93,141.04,141.11,16672200,AAPL,STK,
2017-04-10 00:00:00+00:00,AAPL,141.36,141.64,140.67,140.94,18933400,AAPL,STK,
2017-04-11 00:00:00+00:00,AAPL,140.71,141.12,137.88,139.42,30379400,AAPL,STK,
2017-04-12 00:00:00+00:00,AAPL,139.39,139.94,138.81,139.59,20350000,AAPL,STK,
2017-04-13 00:00:00+00:00,AAPL,139.7,140.16,138.85,138.85,17822900,AAPL,STK,
2017-04-17 00:00:00+00:00,AAPL,139.28,139.67,138.68,139.62,16582100,AAPL,STK,
2017-04-18 00:00:00+00:00,AAPL,139.21,139.83,138.91,139.0,14697500,AAPL,STK,
2017-04-19 00:00:00+00:00,AAPL,139.67,139.79,138.26,138.49,17328400,AAPL,STK,
2017-04-20 00:00:00+00:00,AAPL,139.02,140.69,138.96,140.22,23319600,AAPL,STK,
2017-04-21 00:00:00+00:00,AAPL,140.22,140.46,139.64,140.05,17320900,AAPL,STK,
2017-04-24 00:00:00+00:00,AAPL,141.27,141.71,140.95,141.4,17134300,AAPL,STK,
2017-04-25 00:00:00+00:00,AAPL,141.67,142.64,141.63,142.28,18871500,AAPL,STK,
2017-04-26 00:00:00+00:00,AAPL,142.22,142.35,141.15,141.44,20041200,AAPL,STK,
2017-04-27 00:00:00+00:00,AAPL,141.68,141.91,141.08,141.55,14246300,AAPL,STK,
2017-04-28 00:00:00+00:00,AAPL,141.85,142.05,141.04,141.41,20860400,AAPL,STK,
2017-05-01 00:00:00+00:00,AAPL,142.84,144.91,142.7,144.3,33602900,AAPL,STK,
2017-05-02 00:00:00+00:00,AAPL,145.24,145.78,144.55,145.21,45352200,AAPL,STK,
2017-05-03 00:00:00+00:00,AAPL,143.32,145.19,142.02,144.77,45697000,AAPL,STK,
