index,symbol,open,high,low,close,volume
2017-08-01,BBVA.MC,7.8,7.81,7.68,7.6703,19199004.0
2017-08-02,BBVA.MC,7.804,7.82,7.689,7.6525,19821707.0
2017-08-03,BBVA.MC,7.727,7.818,7.641,7.7226,24628650.0
2017-08-04,BBVA.MC,7.761,7.877,7.753,7.7384,18924428.0
2017-08-07,BBVA.MC,7.86,7.88,7.834,7.773,9724406.0
2017-08-08,BBVA.MC,7.86,7.932,7.85,7.8283,21632574.0
2017-08-09,BBVA.MC,7.851,7.885,7.651,7.6327,25000652.0
2017-08-10,BBVA.MC,7.7,7.731,7.545,7.4994,24801527.0
2017-08-11,BBVA.MC,7.514,7.57,7.375,7.3611,24302903.0
2017-08-14,BBVA.MC,7.488,7.621,7.488,7.4875,29793133.0
2017-08-15,BBVA.MC,7.63,7.647,7.585,7.5468,9924040.0
2017-08-16,BBVA.MC,7.685,7.729,7.665,7.5715,11093672.0
2017-08-17,BBVA.MC,7.627,7.63,7.475,7.4273,20429555.0
2017-08-18,BBVA.MC,7.42,7.513,7.39,7.4115,28185546.0
2017-08-21,BBVA.MC,7.45,7.525,7.422,7.3473,8994525.0
2017-08-22,BBVA.MC,7.5,7.556,7.469,7.4184,15806305.0
2017-08-23,BBVA.MC,7.528,7.564,7.396,7.3295,12302052.0
2017-08-24,BBVA.MC,7.462,7.539,7.436,7.3838,10835234.0
2017-08-25,BBVA.MC,7.508,7.549,7.46,7.369,6165181.0
2017-08-28,BBVA.MC,7.428,7.496,7.409,7.3413,5217450.0
2017-08-29,BBVA.MC,7.395,7.407,7.295,7.2317,23603209.0
2017-08-30,BBVA.MC,7.375,7.386,7.303,7.2495,15792739.0
2017-08-31,BBVA.MC,7.375,7.487,7.366,7.3315,20954723.0
2017-09-01,BBVA.MC,7.448,7.489,7.39,7.3433,9361050.0
2017-09-04,BBVA.MC,7.339,7.396,7.339,7.2811,7530276.0
2017-09-05,BBVA.MC,7.37,7.408,7.226,7.1537,17508488.0
2017-09-06,BBVA.MC,7.214,7.27,7.155,7.1458,14742761.0
2017-09-07,BBVA.MC,7.278,7.303,7.171,7.1053,37463382.0
2017-09-08,BBVA.MC,7.15,7.266,7.121,7.0865,18017782.0
2017-09-11,BBVA.MC,7.231,7.391,7.23,7.2781,15817198.0
2017-09-12,BBVA.MC,7.412,7.433,7.374,7.3107,18983786.0
2017-09-13,BBVA.MC,7.415,7.484,7.393,7.3443,19174879.0
2017-09-14,BBVA.MC,7.41,7.459,7.36,7.3483,13263567.0
2017-09-15,BBVA.MC,7.414,7.474,7.334,7.287,52400382.0
2017-09-18,BBVA.MC,7.42,7.474,7.4,7.3236,48625209.0
2017-09-19,BBVA.MC,7.415,7.496,7.41,7.369,36189311.0
2017-09-20,BBVA.MC,7.46,7.485,7.334,7.288,29646250.0
2017-09-21,BBVA.MC,7.419,7.545,7.41,7.4125,21087600.0
2017-09-22,BBVA.MC,7.5,7.554,7.476,7.4154,13294063.0
2017-09-25,BBVA.MC,7.47,7.492,7.33,7.2761,21853564.0
2017-09-26,BBVA.MC,7.367,7.387,7.31,7.2564,57388617.0
2017-09-27,BBVA.MC,7.38,7.558,7.366,7.4105,20852654.0
2017-09-28,BBVA.MC,7.58,7.59,7.432,7.3532,26162435.0
2017-09-29,BBVA.MC,7.464,7.561,7.382,7.4688,44091034.0
2017-10-02,BBVA.MC,7.476,7.52,7.316,7.292,187343675.0
2017-10-03,BBVA.MC,7.411,7.448,7.32,7.3571,262697254.0
2017-10-04,BBVA.MC,7.413,7.427,7.115,7.0914,74121105.0
2017-10-05,BBVA.MC,7.128,7.482,7.112,7.288,64438567.0
2017-10-06,BBVA.MC,7.277,7.368,7.228,7.319,22874783.0
2017-10-09,BBVA.MC,7.305,7.397,7.23,7.236,18046035.0
2017-10-10,BBVA.MC,7.21,7.222,7.092,7.19,236450426.0
2017-10-11,BBVA.MC,7.362,7.386,7.292,7.365,76893722.0
2017-10-12,BBVA.MC,7.347,7.38,7.308,7.366,46076715.0
2017-10-13,BBVA.MC,7.38,7.393,7.319,7.332,13467402.0
2017-10-16,BBVA.MC,7.306,7.31,7.173,7.204,44102169.0
2017-10-17,BBVA.MC,7.189,7.295,7.138,7.213,51291568.0
2017-10-18,BBVA.MC,7.241,7.285,7.162,7.275,21461356.0
2017-10-19,BBVA.MC,7.265,7.298,7.176,7.22,30710478.0
2017-10-20,BBVA.MC,7.222,7.368,7.209,7.318,25304510.0
2017-10-23,BBVA.MC,7.29,7.3,7.155,7.182,35399548.0
2017-10-24,BBVA.MC,7.176,7.296,7.15,7.262,26706339.0
2017-10-25,BBVA.MC,7.265,7.403,7.234,7.255,32928467.0
2017-10-26,BBVA.MC,7.28,7.507,7.212,7.385,33715078.0
2017-10-27,BBVA.MC,7.4,7.45,7.11,7.193,61726072.0
2017-10-30,BBVA.MC,7.33,7.441,7.293,7.41,31143825.0
2017-10-31,BBVA.MC,7.42,7.542,7.4,7.513,32251104.0
2017-11-01,BBVA.MC,7.556,7.58,7.43,7.478,23184416.0
2017-11-02,BBVA.MC,7.471,7.517,7.379,7.461,17169691.0
2017-11-03,BBVA.MC,7.452,7.452,7.26,7.33,21324319.0
2017-11-06,BBVA.MC,7.332,7.332,7.196,7.261,31042875.0
2017-11-07,BBVA.MC,7.325,7.347,7.209,7.211,17979064.0
2017-11-08,BBVA.MC,7.2,7.218,7.126,7.218,31030172.0
2017-11-09,BBVA.MC,7.22,7.312,7.17,7.175,43578004.0
2017-11-10,BBVA.MC,7.176,7.228,7.132,7.147,23208291.0
2017-11-13,BBVA.MC,7.175,7.175,7.06,7.129,16153564.0
2017-11-14,BBVA.MC,7.15,7.189,7.07,7.104,14802748.0
2017-11-15,BBVA.MC,7.05,7.224,7.021,7.196,23499067.0
2017-11-16,BBVA.MC,7.244,7.333,7.211,7.25,23741337.0
2017-11-17,BBVA.MC,7.25,7.293,7.174,7.19,22558136.0
2017-11-20,BBVA.MC,7.162,7.223,7.078,7.119,18508569.0
2017-11-21,BBVA.MC,7.102,7.135,7.022,7.022,34439165.0
2017-11-22,BBVA.MC,7.049,7.156,7.032,7.048,15708759.0
2017-11-23,BBVA.MC,7.03,7.134,7.022,7.069,22458599.0
2017-11-24,BBVA.MC,7.088,7.173,7.07,7.129,14168403.0
2017-11-27,BBVA.MC,7.093,7.185,7.071,7.071,10889976.0
2017-11-28,BBVA.MC,7.096,7.141,7.08,7.137,14642446.0
2017-11-29,BBVA.MC,7.23,7.322,7.202,7.279,37807623.0
2017-11-30,BBVA.MC,7.271,7.362,7.182,7.182,35197988.0
2017-12-01,BBVA.MC,7.2,7.206,7.06,7.074,32173350.0
2017-12-04,BBVA.MC,7.169,7.2,7.113,7.16,14956110.0
2017-12-05,BBVA.MC,7.145,7.229,7.12,7.182,14562804.0
2017-12-06,BBVA.MC,7.13,7.15,7.055,7.076,17988117.0
2017-12-07,BBVA.MC,7.079,7.165,7.05,7.165,25720473.0
2017-12-08,BBVA.MC,7.22,7.335,7.199,7.21,20034987.0
2017-12-11,BBVA.MC,7.234,7.283,7.206,7.222,12195297.0
2017-12-12,BBVA.MC,7.218,7.238,7.166,7.214,19386271.0
2017-12-13,BBVA.MC,7.187,7.253,7.181,7.196,24025194.0
2017-12-14,BBVA.MC,7.169,7.234,7.135,7.137,17105560.0
2017-12-15,BBVA.MC,7.117,7.182,7.092,7.149,35816473.0
2017-12-18,BBVA.MC,7.19,7.27,7.18,7.252,21054086.0
2017-12-19,BBVA.MC,7.24,7.32,7.235,7.281,11916198.0
2017-12-20,BBVA.MC,7.287,7.303,7.204,7.272,14785831.0
2017-12-21,BBVA.MC,7.248,7.405,7.216,7.372,19588584.0
2017-12-22,BBVA.MC,7.2,7.34,7.2,7.264,19494042.0
2017-12-27,BBVA.MC,7.264,7.28,7.191,7.214,10893895.0
2017-12-28,BBVA.MC,7.191,7.219,7.131,7.147,11086399.0
2017-12-29,BBVA.MC,7.14,7.167,7.069,7.112,15650276.0
2018-01-02,BBVA.MC,7.112,7.169,7.05,7.082,16739343.0
2018-01-03,BBVA.MC,7.113,7.12,7.055,7.094,14425017.0
2018-01-04,BBVA.MC,7.113,7.274,7.104,7.221,21636964.0
2018-01-05,BBVA.MC,7.259,7.282,7.203,7.253,13665667.0
2018-01-08,BBVA.MC,7.274,7.293,7.22,7.235,13623906.0
2018-01-09,BBVA.MC,7.227,7.284,7.217,7.262,14546942.0
2018-01-10,BBVA.MC,7.28,7.38,7.259,7.35,29206121.0
2018-01-11,BBVA.MC,7.349,7.45,7.297,7.344,28447094.0
2018-01-12,BBVA.MC,7.391,7.448,7.359,7.448,21860572.0
2018-01-15,BBVA.MC,7.465,7.516,7.428,7.481,19574432.0
2018-01-16,BBVA.MC,7.478,7.51,7.439,7.477,18110019.0
2018-01-17,BBVA.MC,7.4,7.457,7.331,7.398,21261370.0
2018-01-18,BBVA.MC,7.42,7.429,7.345,7.379,17142419.0
2018-01-19,BBVA.MC,7.375,7.448,7.354,7.4,15502621.0
2018-01-22,BBVA.MC,7.423,7.535,7.375,7.495,24869495.0
2018-01-23,BBVA.MC,7.53,7.569,7.45,7.49,29930004.0
2018-01-24,BBVA.MC,7.478,7.533,7.455,7.48,14458879.0
2018-01-25,BBVA.MC,7.483,7.601,7.481,7.601,19909292.0
2018-01-26,BBVA.MC,7.59,7.65,7.565,7.634,14670963.0
2018-01-29,BBVA.MC,7.659,7.674,7.594,7.643,23438452.0
2018-01-30,BBVA.MC,7.59,7.617,7.512,7.563,22858509.0
2018-01-31,BBVA.MC,7.569,7.632,7.511,7.568,21098911.0
2018-02-01,BBVA.MC,7.68,7.73,7.42,7.6399,25814905.0
2018-02-02,BBVA.MC,7.45,7.467,7.292,7.354,35066327.0
2018-02-05,BBVA.MC,7.286,7.322,7.212,7.255,20252138.0
2018-02-06,BBVA.MC,7.1,7.23,7.03,7.085,33745565.0
2018-02-07,BBVA.MC,7.195,7.268,7.087,7.227,24484234.0
2018-02-08,BBVA.MC,7.193,7.287,7.098,7.131,27476160.0
2018-02-09,BBVA.MC,7.067,7.098,6.928,7.009,63175950.0
2018-02-12,BBVA.MC,7.084,7.153,7.053,7.097,20957507.0
2018-02-13,BBVA.MC,7.102,7.124,6.984,6.998,25459770.0
2018-02-14,BBVA.MC,7.061,7.077,6.915,6.968,33737532.0
2018-02-15,BBVA.MC,7.06,7.14,6.968,6.993,18462918.0
2018-02-16,BBVA.MC,7.057,7.077,6.974,7.059,24017531.0
2018-02-19,BBVA.MC,7.085,7.095,7.074,7.095,526811.0
